affinity,SiO2,TiO2,Al2O3,FeOT,CaO,MgO,Na2O,K2O
th,48.9,1.69,14.80,10.50,12.80,7.25,2.24,0.4
th,47.67,1.51,18.07,9.06,12.31,7.29,2.38,0.24
th,49.21,1.80,13.99,11.58,10.32,7.29,1.97,0.285
th,48.1,1.86,14.76,11.9,12.08,7.3,2.33,0.22
th,45.82,2.34,15.47,12.91,10.79,7.31,2.17,0.16
th,49.34,1.08,15.05,10.87,12.26,7.31,2.21,0.21
th,49.68,1.61,14.65,11.59,12.34,7.33,2.23,0.33
th,48.5,1.38,16.9,9.05,12.7,7.4,2.37,0.29
th,49,1.30,14.10,11.30,13.50,7.41,2.33,0.11
th,48.8,1.90,14.00,12.00,12.50,7.42,2.34,0.15
th,47.97,1.56,14.87,11.34461,12.48,7.51,2.38,0.22
th,48.13,1.50,15.77,10.46,12.46,7.51,2.33,0.18
th,49.2,1.06,16.06,10.45,12.55,7.52,2.22,0.109
th,47.4,2.01,15.2,11.6,12.7,7.55,2.51,0.31
th,49.22,1.49,15.02,11.13,12.61,7.55,2.14,0.146
th,47.4,2.07,15.7,11.5,12.2,7.59,2.41,0.33
th,48.91,1.53,15.10,11.36,12.08,7.59,2.17,0.2
th,48.91,1.53,15.10,11.36,12.08,7.59,2.17,0.2
th,49.08,1.63,14.72,12.08,11.58,7.60,2.18,0.223
th,49.13,1.51,14.78,11.26,12.56,7.65,2.1,0.16
th,48.35,1.37,16.58,9.61,12.42,7.67,2.36,0.27
th,49.31,1.52,14.06,11.76,12.50,7.68,2.07,0.17
th,48.9086327016456,1.00,14.71,10.96,12.08,7.69,1.88732650705607,0.154862683215294
th,48.9,1.38,14.20,11.20,13.30,7.70,2.26,0.12
th,49.86,1.57,14.72,11.54,12.37,7.79,2.17,0.21
th,48.8715083790067,1.06,14.68,11.22,12.15,7.79,1.82125491674855,0.148183467662883
th,46.78,0.90,13.01,8.92,9.85,7.8,2.88,0.47
th,49.56,1.55,14.75,11.50,12.35,7.81,2.18,0.24
th,49.65,1.55,14.67,11.33,12.52,7.83,2.16,0.26
th,49.68,1.53,15.05,11.23,12.46,7.85,2.19,0.36
th,51.52,2.46,15.86,10.56,7.59,7.85,4.66,1.31
th,48.9003324660136,1.08,14.92,11.41,12.15,7.85,1.72236853159198,0.123453004576535
th,48.48,1.52,14.76,10.82,12.76,7.89,2.21,0.19
th,48.9264926367351,1.01,14.83,11.07,12.20,7.92,1.83356269529803,0.132247200908155
th,49.69,1.55,14.77,11.28,12.60,7.96,2.14,0.27
th,47.8199844640817,0.93,14.6952950299013,10.77,12.50,7.97,1.71362084416477,0.098632827658321
th,48.79,1.14,15.86,10.116836,12.94,7.98,2.2,0.2
th,48.51,1.75,15.09,12.36,11.77,8.01,2.25,0.25
th,47.22,1.78,15.27,11.52,11.67,8.03,2.13,0.16
th,48.1,1.63,16.31,11.53,11.73,8.04,2.18,0.16
th,48.42,1.50,15.04,10.83,12.63,8.07,2.31,0.18
th,49.0663367569586,1.03,14.83,11.56,12.32,8.08,1.92153227795594,0.113444695615999
th,48.2,1.71,15.72,11.93,11.65,8.08,2.17,0.17
th,48.8509504668312,1.01,14.88,11.28,12.47,8.11,1.71898927533696,0.113196846219742
th,48.18,1.41,15.23,10.52,11.97,8.14,1.89,0.16
th,48.04,1.75,15.32,12.21,11.79,8.15,2.2,0.17
th,47.99,1.56,16.67,11.45,11.68,8.18,2.21,0.13
th,48.04,1.49,14.97,10.84,12.97,8.22,2.15,0.19
th,49.66,1.59,14.98,11.55,11.24,8.22,2.35,0.18
th,49.87,1.56,14.58,11.45,12.79,8.22,2.05,0.3
th,47.98,1.74,15.39,12.14,11.76,8.25,2.2,0.18
th,49.4,1.55,14.64,11.37,12.96,8.27,2.06,0.26
th,48.4859200483264,0.99,14.86,11.06,12.56,8.30,1.72989011288343,0.102993457587857
th,49.23,0.92,13.92,9.65,14.61,8.32,1.81,0.054
th,49.34,0.96,14.71,9.09,14.16,8.37,1.92,0.046
th,48.34,1.66,15.44,12,11.85,8.39,2.2,0.2
th,48.56,1.53,14.69,11.425512,11.73,8.4,2.14,0.22
th,47.99,1.64,16.16,11.36,11.83,8.44,2.12,0.15
th,47.71,1.72,14.76,11.62,11.54,8.45,2.25,0.27
th,48.75,0.50,15.78,8.89,13.64,8.46,1.8,0.26
th,48.77,1.34,15.99,10.328598,13.47,8.46,2.2,0.11
th,48.83,0.70,16.14,9.34,13.93,8.46,1.95,0.07
th,49,1.00,14.90,9.46,14.30,8.46,2.1,0.06
th,47.27,1.61,15.72,11.085652,12.5,8.54,2.2,0.13
th,47.86,1.73,15.68,10.920482,11.75,8.69,2.27,0.22
th,47.86,1.73,15.68,10.920482,11.75,8.69,2.27,0.22
th,47.8297092780375,0.90,15.5580075738982,10.11,12.76,8.75,1.7375081014895,0.100451241127899
th,49.38,1.48,14.69,11.18,12.74,8.77,2.06,0.31
th,48.43,1.68,14.44,11.8,11.16,8.78,2.33,0.3
th,48.1,1.63,15.04,11.52,11.01,8.84,2.51,0.36
th,47.83,1.77,14.89,11.56469,11.37,8.85,2.02,0.18
th,47.62,2.18,15.38,11.85,10.7,8.9,2.39,0.52
th,48.98,1.42,15.11,10.44,11.78,8.93,2.44,0.33
th,49.21,0.84,14.70,10.24,13.49,8.95,1.74,0.059
th,46.86,1.67,14.89,12.202486,11.78,8.98,2.07,0.12
th,46.88,2.44,14.92,12.9,10.41,9.17,2.28,0.47
th,49.14,0.96,15.33,9.96,13.43,9.19,1.77,0.061
th,47.16,1.31,16.05,10.832546,12.34,9.23,2.03,0.12
th,47.16,1.31,16.05,10.832546,12.34,9.23,2.03,0.12
th,48.26,1.50,15.24,11.12,11.6,9.25,2.04,0.18
th,48.25,1.57,15.51,11.44,11.93,9.27,2.1,0.2
th,47.29,1.52,15.99,10.587576,12.08,9.28,2.03,0.09
th,47.3,1.75,15.43,11.23,11.84,9.31,2.02,0.2
th,47.39,0.97,16.09,10.038538,13.28,9.33,1.77,0.06
th,46.23,2.39,15.08,10.046036,11.62,9.39,2.22,0.7
th,47.63,1.46,15.62,10.518698,12.39,9.39,2.07,0.1
th,47.68,1.74,14.42,11.52,11.01,9.47,2.28,0.33
th,48.04,1.57,14.57,10.73,11.43,9.55,2.19,0.33
th,48.77,1.56,15.34,10.656574,12,9.56,2.21,0.24
th,47.91,1.03,15.86,9.38461,13.36,9.58,1.96,0.1
th,47.48,1.06,14.8,9.73,11.08,9.61,1.54,0.17
th,47.11,1.40,14.88,10.54,10.12,9.62,1.75,0.24
th,47.24,0.91,15.89,9.79453,13.21,9.65,1.81,0.03
th,49.34,1.23,15.29,10.97,11.50,9.67,2.03,0.201
th,46.92,1.90,14.99,11.841564,11.32,9.68,2.15,0.21
th,47.02,2.01,14.15,12.578518,10.51,9.72,2.16,0.28
th,47.36,1.42,15.07,11.378578,11.94,9.73,2.02,0.13
th,47.36,1.42,15.07,11.378578,11.94,9.73,2.02,0.13
th,45.69,2.34,14.86,9.919062,11.86,9.74,2.2,0.71
th,47.59,1.31,15.19,10.64,11.6,9.74,2.07,0.1
th,46.8,1.92,14.48,12.122506,11.19,9.81,2.07,0.29
th,49.26,0.58,16.65,8.67,13.37,9.81,1.79,0.04
th,47.91,1.07,15.95,9.897736,12.51,9.86,1.97,0.11
th,47.38,2.02,14.39,11.493628,11.38,9.9,2.1,0.29
th,46.04,2.45,14.54,9.937058,11.43,9.95,2.32,0.88
th,45.63,2.58,14.06,10.528942,11.33,9.97,2.3,0.76
th,47.66,1.21,15.45,10.347696,12.22,9.97,1.98,0.1
th,47.66,1.21,15.45,10.347696,12.22,9.97,1.98,0.1
th,46.9,1.35,15.61,10.4496,11.91,10.2,2.06,0.11
th,48.17,0.66,15.92,9.12,13.14,10.2,1.72,0.07
th,49.2,0.72,15.18,9.45,12.62,10.31,1.41,0.08
th,46.87,1.37,15.78,11.151624,11.37,10.42,2.06,0.11
th,46.87,1.37,15.78,11.151624,11.37,10.42,2.06,0.11
th,46.82,1.29,15.57,11.093588,11.81,10.48,1.86,0.13
th,46.16,1.74,14.55,10.38297,11.62,10.55,2.34,0.21
th,47.04,1.36,14.75,11.118518,11.22,10.97,2.09,0.14
th,46.87,1.45,15.17,10.986454,11.57,11.03,2.07,0.12
th,48.15,0.71,14.54,9.26,12.88,11.04,1.66,0.05
th,47.27,0.95,15.53,9.690622,12.31,11.28,1.76,0.1
th,47.06,1.60,13.78,11.33,10.74,11.6,2.13,0.29
th,47.98,0.67,14.65,9.3,12.56,11.76,1.49,0.05
th,48.15,0.78,14.44,9.74,12.39,11.78,1.75,0.06
th,48,0.73,14.19,9.38,12.7,11.86,1.63,0.05
th,48.16,0.71,14.17,9.44,12.47,12.34,1.59,0.06
th,48.04,0.65,13.91,9.14,12.62,12.85,1.52,0.05
th,48.12,0.67,13.89,9.12,12.66,12.93,1.61,0.05
th,47.93,0.64,13.72,9.19,12.42,13.07,1.44,0.04
th,48.14,0.66,13.83,9.32,12.37,13.21,1.52,0.05
ca,74.26,0.13,13.59,2.13,0.22,0.08,4.71,4.83
ca,75.55,0.15,13.94,1.25,1.74,0.35,4.88,2.1
ca,75.79,0.16,13.78,1.19,1.73,0.31,4.77,2.2
ca,73.6,0.16,13.2,1.63,1.66,0.45,3.28,3.24
ca,74.75,0.18,14.29,1.42,2,0.42,4.91,1.98
ca,75.56,0.19,14.12,1.03,1.07,0.28,4.3,3.2
ca,72.5,0.19,13.3,1.79,1.99,0.53,3.13,3.11
ca,75.45,0.2,13.88,1.36,1.77,0.35,4.96,2.01
ca,74.79,0.21,13.87,1.65,1.69,0.3,5.17,2.29
ca,72.32,0.21,14.82,1.20,1.83,0.49,3.09,3.18
ca,74.01,0.23,13.9,1.55,1.64,0.57,4.12,3.21
ca,73,0.24,13.3,1.22,0.96,0.23,3.48,4.81
ca,73.07,0.25,14.3,1.78,1.79,0.7,4.39,3.08
ca,77.16,0.27,10.51,1.13,0.84,0.15,3.33,3.05
ca,75.3,0.27,12.6,1.28,0.94,0.24,4.63,3.41
ca,74.7,0.27,12.9,1.42,0.91,0.25,4.8,3.3
ca,75.2,0.27,12.9,1.31,0.98,0.27,4.58,3.38
ca,73.49,0.28,13.91,1.95,1.96,0.87,3.98,3.35
ca,71.53,0.29,14.59,2.34,2.83,1.18,3.82,2.53
ca,54.09,0.3,11.71,13.17,9.79,6.96,2.97,0.28
ca,78.67,0.32,11.05,1.38,0.63,0.08,3.34,3.01
ca,74.32,0.32,13.73,1.82,1.97,0.44,5.08,2.27
ca,72.7,0.33,13.4,1.53,1.17,0.32,4.65,3.11
ca,69.73,0.33,15.66,2.60,2.9,0.87,4.82,2.11
ca,70.82,0.33,15.42,2.19,2.69,1,4.43,2.86
ca,69.61,0.34,15.52,2.64,3.37,1.28,4.32,2.61
ca,74.28,0.35,11.78,1.80,0.95,0.29,3.9,2.82
ca,71.9,0.35,12.7,1.90,1.23,0.35,4.34,2.63
ca,72.4,0.35,13.6,1.84,1.27,0.38,5.15,3.07
ca,74.76,0.35,11.52,2.24,0.89,0.49,3.84,2.96
ca,72.77,0.35,14.24,2.51,2.4,0.56,4.69,2.43
ca,73.47,0.35,13.99,1.99,2.03,0.88,3.64,3.43
ca,69.08,0.35,15.91,3.67,3.22,0.99,4.86,1.76
ca,69.81,0.35,15.6,2.53,3.31,1.19,4.29,2.64
ca,70.23,0.35,15.56,2.43,2.91,1.2,4.32,2.74
ca,69.95,0.35,15.41,2.56,3.29,1.22,4.28,2.64
ca,69.97,0.35,15.47,2.43,3.12,1.35,4.23,2.82
ca,69.2,0.35,14.8,2.94,3.09,1.49,3.58,3
ca,77.79,0.36,11.16,1.35,0.57,0.06,3.88,3.5
ca,77.69,0.36,11.76,1.40,0.79,0.11,3.29,3.17
ca,77.04,0.36,12.45,1.47,0.88,0.25,3.74,3.17
ca,73.2,0.36,13.7,1.76,1.4,0.41,5.11,2.97
ca,72.76,0.36,11.17,3.03,1.08,0.66,3.34,2.85
ca,66.9,0.36,16,3.46,4.49,1.2,3.37,1.46
ca,76.73,0.37,11.61,1.55,0.72,0.11,3.63,2.89
ca,76.54,0.37,12.82,1.59,1.2,0.13,3.99,2.52
ca,69.23,0.37,13.05,2.17,1.69,0.58,3.91,2.28
ca,66.7,0.37,10.6,4.22,3.23,4.21,1.29,1.17
ca,51.4,0.37,10.7,8.19,9.26,16.8,2.22,0.59
ca,77.82,0.38,11.79,1.53,0.81,0.19,3.15,2.88
ca,73.6,0.38,13.1,2.29,1.69,0.23,4.23,2.16
ca,77.96,0.39,11.56,1.66,0.67,0.18,3.07,2.81
ca,74.25,0.39,11.47,1.77,0.86,0.24,3.68,3.18
ca,76.63,0.39,11.15,2.04,0.74,0.29,3.63,3.14
ca,70.6,0.39,14.6,2.21,1.78,0.44,4.69,2.84
ca,77.14,0.4,11.66,1.50,0.68,0.06,3.59,2.95
ca,77.77,0.4,11.4,1.33,0.53,0.09,3.97,3.31
ca,77.05,0.4,11.72,1.60,0.72,0.1,3.98,2.99
ca,75.26,0.4,12.74,1.80,1.41,0.22,4.29,2.47
ca,77.55,0.4,12.7,1.69,1.22,0.24,2.56,2.73
ca,75.16,0.4,11.22,1.98,0.84,0.31,3.69,3.08
ca,70.4,0.4,14.5,2.47,1.67,0.4,5.19,2.72
ca,72.2,0.4,14.8,2.12,1.69,0.54,5.35,2.75
ca,73.09,0.4,12.21,2.29,1.34,0.57,4.7,2.66
ca,72,0.4,14.8,2.14,1.74,0.58,5.31,2.83
ca,77.66,0.41,12.16,1.60,0.84,0.2,3.6,2.96
ca,77.29,0.41,11.28,1.59,0.71,0.27,3.45,2.99
ca,74.37,0.41,11.46,2.18,0.79,0.4,3.9,3.01
ca,71.64,0.41,13.23,1.70,1.84,0.54,4.26,2.05
ca,71.37,0.41,11.94,2.63,1.24,0.54,3.74,2.29
ca,71.1,0.41,14.5,2.24,1.77,0.57,5.13,2.79
ca,71.8,0.41,14.7,2.28,2.16,0.63,4.78,2.98
ca,68.8,0.41,16.7,3.45,3.91,0.78,4.27,1.27
ca,64.3,0.41,16.5,3.11,3.64,0.89,4.36,1.25
ca,65.87,0.41,16.23,3.87,3.94,2.05,3.83,2.28
ca,71.4,0.42,13.3,2.33,1.95,0.32,4.31,1.76
ca,71.5,0.42,14,2.13,1.69,0.49,4.8,2.89
ca,71.2,0.42,14.5,2.17,1.76,0.56,4.94,2.76
ca,71.78,0.42,15.09,2.76,2.1,0.61,4.51,2.3
ca,71.8,0.42,14.4,2.39,1.84,0.71,4.8,2.81
ca,72.81,0.42,15.07,2.88,1.99,0.71,5.03,2.94
ca,70.6,0.42,14.5,2.45,2.12,0.77,4.86,2.68
ca,69.73,0.42,15.61,3.10,3.2,1.13,4.38,1.97
ca,67.78,0.42,15.81,3.33,4.07,1.77,4,2.51
ca,75.99,0.43,12.54,1.80,1.31,0.26,3.63,2.57
ca,70,0.43,13.9,2.21,1.83,0.62,4.59,2.92
ca,70.4,0.43,14.9,2.47,2.13,0.77,4.83,2.63
ca,70.8,0.44,15.1,2.47,2.33,0.76,5.02,2.87
ca,67.31,0.44,16.4,3.25,3.78,1.66,4.37,2.52
ca,68.26,0.44,15.89,3.00,3.67,1.67,4.15,2.61
ca,65.85,0.44,16.41,3.74,4.65,2.43,3.95,2.21
ca,71.3,0.45,14.4,2.20,1.81,0.62,5.04,2.8
ca,69.2,0.45,14.9,2.78,2.25,0.68,4.68,2.57
ca,70.8,0.45,15.2,2.44,2.17,0.7,5.41,2.62
ca,69.6,0.45,14.8,2.43,2.06,0.71,4.78,2.6
ca,68.6,0.45,15.5,2.65,2.46,0.79,4.87,2.33
ca,67.7,0.45,14.7,2.69,2.64,0.96,4.19,2.94
ca,69.42,0.45,15.78,2.63,2.88,1.11,4.46,3.03
ca,64,0.45,16.4,4.41,5.2,1.52,3.35,1.08
ca,68.71,0.45,15.54,2.93,3.64,1.56,4.23,2.66
ca,73.96,0.46,10.97,2.26,0.89,0.47,4.76,3.13
ca,70.6,0.46,15.3,2.42,2.27,0.76,5.24,2.67
ca,70.4,0.46,15.3,2.53,2.32,0.83,5.32,2.57
ca,65.1,0.46,16.3,2.87,4.95,1.9,3.23,2.17
ca,69.9,0.47,13.3,2.60,2.15,0.41,4.74,1.68
ca,69.2,0.47,13.5,2.73,2.17,0.44,5.49,1.88
ca,73.08,0.47,12.83,1.78,1.92,0.54,4,2.25
ca,70.67,0.47,12.71,2.35,1.58,0.61,3.67,2.38
ca,70.4,0.47,15.3,2.67,2.44,0.78,4.96,2.71
ca,70.4,0.47,15.4,2.53,2.3,0.79,5.27,2.56
ca,69.47,0.47,16.19,3.15,2.8,0.85,4.52,2.02
ca,72.46,0.48,13.22,1.64,1.8,0.51,4.49,2.23
ca,70.7,0.48,15.2,2.55,2.37,0.78,5.11,2.57
ca,68.93,0.48,15.93,3.27,2.82,1.1,4.91,2.04
ca,62,0.48,16.8,3.47,4.22,1.37,9.72,1.22
ca,65,0.48,17.78,3.38,5.11,1.58,4.77,1.32
ca,74.48,0.49,11.14,2.43,0.93,0.52,4.02,2.91
ca,70.8,0.49,15.3,2.54,2.35,0.8,4.8,2.65
ca,62.1,0.49,16.9,2.81,4.65,1.25,4.65,0.88
ca,68.45,0.49,15.94,3.24,3.39,1.42,4.81,1.7
ca,65.7,0.49,17.5,3.53,4.61,1.47,4.65,1.45
ca,64.9,0.49,16.3,3.51,4.79,1.83,3.38,2.18
ca,56.14,0.49,14.14,6.67,8.52,10.2,2.57,0.87
ca,70.16,0.5,15.13,2.86,3.11,0.73,5.58,1.87
ca,68.5,0.5,15.5,2.95,2.42,0.9,5.46,2.37
ca,67.3,0.5,15.7,2.97,2.84,1.09,4.85,2.49
ca,63,0.5,16.4,3.24,4.18,1.46,4.89,1.01
ca,64.4,0.5,17.16,4.08,4.65,1.69,4.87,1.61
ca,73.9,0.51,13.6,3.12,1.95,0.44,4.77,2.05
ca,70.07,0.51,14,2.16,2.57,0.99,3.92,1.79
ca,68.43,0.51,16.09,3.36,3.05,1.12,4.95,1.93
ca,65.7,0.51,15.9,3.10,4.33,1.74,3.29,2.36
ca,54.23,0.51,17.74,6.43,10.38,6.87,2.86,0.61
ca,54.4,0.51,16.57,6.95,8.86,8.33,3.23,0.64
ca,72.69,0.52,15.05,3.44,3.45,0.89,2.11,1.68
ca,68.7,0.52,15.1,3.05,2.59,1.02,4.67,2.49
ca,67.6,0.52,15.5,3.10,2.66,1.04,4.62,2.35
ca,58.17,0.52,16,5.62,7.72,7.57,3.25,0.8
ca,58.17,0.52,16,5.62,7.72,7.57,3.25,0.8
ca,51.3,0.52,15.7,8.37,10.7,11.1,2.45,0.32
ca,63.67,0.53,17.33,4.07,5.62,2.56,4.03,1.81
ca,61.04,0.53,18.38,4.64,6.7,3.43,3.82,1.07
ca,57.61,0.53,14.61,6.88,8.7,7.49,2.69,1.11
ca,64.7,0.54,15.8,3.04,3.69,1.04,4.78,1.24
ca,68.4,0.54,15.4,3.17,3.04,1.21,5.06,2.27
ca,64,0.54,15.9,3.30,3.97,1.49,4.7,1.14
ca,66.09,0.54,15.19,3.59,4.07,2.22,3.3,2.72
ca,62.9,0.55,16.3,3.30,4.09,1.23,4.13,1.14
ca,62.98,0.55,16.98,3.29,4.44,1.58,4.55,1.04
ca,64.4,0.55,17,3.53,4.47,1.67,4.61,1.22
ca,67.15,0.56,16.49,3.72,3.77,1.22,4.85,1.62
ca,67.95,0.56,15.97,3.74,3.53,1.54,4.37,1.69
ca,65.2,0.56,16.3,3.76,3.99,1.83,4.64,1.32
ca,64.21,0.56,16.93,4.14,5.15,2.34,4.17,2.1
ca,62.7,0.57,16.5,3.18,4.59,1.92,5.12,1.13
ca,57.67,0.57,19.49,5.28,7.92,3.97,3.76,0.99
ca,51.09,0.57,16.36,7.54,10.07,11.06,2.56,0.31
ca,66.2,0.58,14.9,3.19,3.11,0.89,5.05,1.38
ca,63.6,0.58,15.8,3.84,4.12,1.87,4.71,1.27
ca,60.3,0.58,17.35,5.15,6.46,4.54,3.72,1.47
ca,62.15,0.59,16.57,2.71,4.62,1.14,3.5,1.02
ca,64.55,0.59,18.22,4.46,4.35,1.34,4.94,1.2
ca,68.49,0.6,17.41,3.36,3.99,1.02,3.7,2.85
ca,65.77,0.6,17.34,3.83,4.46,1.32,4.58,1.37
ca,62.8,0.6,17.9,3.91,5.29,1.7,4.88,1.29
ca,63.42,0.6,18.31,4.22,5.34,1.8,5.08,1.29
ca,60.1,0.6,18.2,5.10,6.7,3.4,4.3,1.1
ca,51.46,0.6,16.82,7.38,11.25,9.09,2.59,0.41
ca,51.46,0.6,16.82,7.38,11.25,9.09,2.59,0.41
ca,53.45,0.61,16.84,7.50,9.81,7.65,2.87,0.83
ca,65.5,0.62,16.1,3.33,3.81,1.25,4.49,1.3
ca,67.5,0.62,16,3.44,3.46,1.54,4.86,2.26
ca,64.3,0.62,16.7,4.35,4.83,2.65,4.41,1.79
ca,63.4,0.62,17,4.46,5.31,2.79,4.4,1.64
ca,60.52,0.62,17.83,4.98,6.29,3.64,4.06,1.68
ca,60.1,0.62,18.05,4.82,7.27,4.01,3.6,1.15
ca,61.32,0.63,17.52,4.84,6.39,3.43,3.95,1.52
ca,59.15,0.63,18.14,5.32,6.81,4.16,3.91,1.49
ca,63.47,0.64,17.6,4.37,5.19,2.11,4.53,1.22
ca,63.08,0.64,17.63,4.40,5.31,2.16,4.61,1.23
ca,50.53,0.64,16.78,7.99,9.89,10.52,3.67,0.51
ca,50.53,0.64,16.78,7.99,9.89,10.52,3.67,0.51
ca,66.66,0.65,16.23,3.84,3.64,1.26,5.2,1.79
ca,65.94,0.65,17.55,3.97,4.55,1.33,4.46,1.39
ca,65.46,0.65,17.79,4.03,4.51,1.44,4.35,1.35
ca,63.78,0.65,17.44,4.70,5.1,2.21,4.8,1.3
ca,64.9,0.65,16.4,4.26,4.57,2.47,4.56,1.88
ca,60.1,0.65,17.9,5.51,5.7,2.5,4.3,1.3
ca,60,0.65,18.2,5.70,6.42,3.32,4.1,0.99
ca,53.09,0.65,16.26,7.28,11.15,8.15,2.69,0.32
ca,69.3,0.66,15.7,3.12,2.76,0.9,4.83,2.44
ca,68,0.66,14.2,3.49,2.7,0.91,4.64,1.64
ca,62.7,0.66,18.04,4.22,5.31,1.97,4.47,1.22
ca,62.97,0.66,17.74,4.38,5.35,2.14,4.64,1.23
ca,64.72,0.66,17.15,4.23,4.7,2.2,4.21,1.42
ca,59.4,0.66,17.7,4.00,6.2,2.77,3.33,1.44
ca,62.31,0.66,16.37,4.91,5.67,3.08,4.28,1.76
ca,55.28,0.66,15.82,6.76,9.23,7.99,2.96,0.84
ca,68.8,0.67,15,3.73,3.09,0.89,4.78,1.67
ca,66.47,0.67,16.53,3.65,3.35,1.11,5.79,1.68
ca,64.15,0.67,17.37,5.08,4.52,1.73,4.68,1.54
ca,64.1,0.67,17.36,5.08,4.52,1.73,4.68,1.54
ca,62.86,0.67,17.8,4.55,5.28,2.27,4.44,1.25
ca,54.85,0.67,15.83,6.70,8.73,8.63,3.02,1.11
ca,66.8,0.68,15.2,3.85,3.4,1.49,4.92,1.54
ca,62.94,0.68,17.7,4.60,5.33,2.2,4.56,1.25
ca,62.86,0.68,17.67,4.55,5.35,2.29,4.52,1.22
ca,62.72,0.68,17.88,4.66,5.32,2.29,4.51,1.22
ca,61.49,0.68,18.02,4.64,6.31,2.83,4.37,0.93
ca,56.2,0.68,18.66,6.79,8.79,4.31,3.18,0.97
ca,70.2,0.69,14,3.28,2.51,0.64,4.94,1.8
ca,63.26,0.69,18.7,4.17,4.89,1.99,5.07,1.27
ca,63.62,0.69,17.26,4.41,5.26,2.7,4.08,1.28
ca,53.61,0.69,18.91,7.67,10.16,5.08,2.71,0.77
